countrycode,period,group,emp,emp_ref,index,n
PER,2023Q3,2.0,3552337.3770984276,3677087.3699730868,96.60736935724286,
PER,2023Q3,3.0,2301024.333583939,2290287.2144179,100.46881103376232,
PER,2023Q3,4.0,4669586.450589208,4465536.771499619,104.56943228845174,
PER,2023Q3,5.0,2165613.988849905,2084080.25273037,103.91221672067171,
PER,2023Q4,1.0,3295011.319085856,3829693.1779634524,86.03851969253765,
PER,2023Q4,2.0,3655066.8009890867,3677087.3699730868,99.40114099099686,
PER,2023Q4,3.0,2329179.5110389767,2290287.2144179,101.69814058150612,
PER,2023Q4,4.0,4762164.930637598,4465536.771499619,106.64260926102206,
PER,2023Q4,5.0,2126602.780462,2084080.25273037,102.04034982222593,
PER,2024Q1,1.0,3426551.1639382783,3829693.1779634524,89.47325555099545,
PER,2024Q1,2.0,3768501.4508108534,3677087.3699730868,102.48604592820527,
PER,2024Q1,3.0,2236969.4379373034,2290287.2144179,97.67200479726087,
PER,2024Q1,4.0,4554895.052938137,4465536.771499619,102.0010647322138,
PER,2024Q1,5.0,2148127.506125169,2084080.25273037,103.0731663673167,
PER,2024Q2,1.0,3422792.098676245,3829693.1779634524,89.37509976964817,
PER,2024Q2,2.0,3663336.063587784,3677087.3699730868,99.62602720572822,
PER,2024Q2,3.0,2439634.667060662,2290287.2144179,106.5209049634729,
PER,2024Q2,4.0,4686332.335019889,4465536.771499619,104.94443501013032,
PER,2024Q2,5.0,2104336.845834111,2084080.25273037,100.97196799773917,
PER,2024Q3,1.0,3397900.891995767,3829693.1779634524,88.72514674407147,
PER,2024Q3,2.0,3667941.2870106576,3677087.3699730868,99.75126827180895,
PER,2024Q3,3.0,2344584.342230144,2290287.2144179,102.37075627329318,
PER,2024Q3,4.0,4719927.680265277,4465536.771499619,105.69675991449127,
PER,2024Q3,5.0,2167504.7399485055,2084080.25273037,104.00294024708695,
PER,2024Q4,1.0,3527432.7749331607,3829693.1779634524,92.10745119819161,
PER,2024Q4,2.0,3688795.4521823353,3677087.3699730868,100.31840641875567,
PER,2024Q4,3.0,2347727.903785455,2290287.2144179,102.50801248882465,
PER,2024Q4,4.0,4797763.388207566,4465536.771499619,107.43979131083,
PER,2024Q4,5.0,2146597.4662157423,2084080.25273037,102.99975077271942,
PER,2025Q1,1.0,3569377.943619651,3829693.1779634524,93.20271305697048,
PER,2025Q1,2.0,3764778.7918981668,3677087.3699730868,102.38480659016057,
PER,2025Q1,3.0,2286661.958540015,2290287.2144179,99.84171173575685,
PER,2025Q1,4.0,4658204.2390983,4465536.771499619,104.31454218064763,
PER,2025Q1,5.0,2130753.993748919,2084080.25273037,102.23953664727648,
PER,2025Q2,1.0,3502760.3309178688,3829693.1779634524,91.46321044916085,
PER,2025Q2,2.0,3658740.211023136,3677087.3699730868,99.50104098423733,
